"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"PIC1";"DIP-14_W7.62mm";1;"16F630";;;
2;"U1";"SOIC-14_N";1;"TL074";;;
3;"R4,R3,R1,R2";"R_1206";4;"75ohm";;;
4;"C1,C4";"c_elec_4x5.3";2;"10uF";;;
5;"C2,C3,C5,C6,C7,C8";"c_elec_4x5.3";6;"1uF";;;
6;"C9,C10";"C_Disc_D7.5_P5";2;"270pF";;;
7;"C11,C12,C13";"c_elec_4x5.3";3;"220uF";;;
8;"C14";"c_elec_4x5.3";1;"100uF";;;
9;"R5";"R_1206";1;"1.3K";;;
10;"R6,R9";"R_1206";2;"51K";;;
11;"R7,R8,R10,R11";"R_1206";4;"130K";;;
12;"R12,R13";"R_1206";2;"100K";;;
13;"R14,R15";"R_1206";2;"160Kohm";;;
14;"R16,R17";"R_1206";2;"330ohm";;;
15;"R26";"R_1206";1;"510ohm";;;
16;"R27";"R_1206";1;"750ohm";;;
17;"R18";"R_1206";1;"220ohm";;;
18;"LANG_O1";"SolderWirePad_single_0-8mmDrill";1;"Japanese/English";;;
19;"+5v1,Gnd1,left1,mono1,right1";"SolderWirePad_single_0-8mmDrill";5;"TEST_1P";;;
20;"32X_L1";"SolderWirePad_single_0-8mmDrill";1;"32X Left Channel";;;
21;"32X_R1";"SolderWirePad_single_0-8mmDrill";1;"32X Right Channel";;;
22;"LEDGND1";"SolderWirePad_single_0-8mmDrill";1;"GND";;;
23;"LEDG1";"SolderWirePad_single_0-8mmDrill";1;"GREEN";;;
24;"LEDR1";"SolderWirePad_single_0-8mmDrill";1;"RED";;;
25;"MCD_L1";"SolderWirePad_single_0-8mmDrill";1;"Mega CD Left Channel";;;
26;"MCD_R1";"SolderWirePad_single_0-8mmDrill";1;"Mega CD Right Channel";;;
27;"PSG1";"SolderWirePad_single_0-8mmDrill";1;"PSG";;;
28;"RES_I1";"SolderWirePad_single_0-8mmDrill";1;"RESET IN";;;
29;"VM_O1";"SolderWirePad_single_0-8mmDrill";1;"50/60Hz";;;
30;"YM_L1";"SolderWirePad_single_0-8mmDrill";1;"Yamaha left channel";;;
31;"YM_R1";"SolderWirePad_single_0-8mmDrill";1;"Yamaha Right Channel";;;
32;"RES_O1";"SolderWirePad_single_0-8mmDrill";1;"RESET OUT";;;
